1,Low Confidence,"Very uncertain. I can code it, but not that good to brag about."
1,Low Confidence,"Definitely embarrassing, can't seem keep the keywords memorized"
1,Low Confidence,"Most definitely nothing near to confident, this one have the most long syntax."
1,Low Confidence,"Very much everything, from quizzes to lab exams. everytime I can't seem to remember how to block the code, it's frustrating and undermining."
1,Low Confidence,"Depends, if I plan to get into jobs related too much in coding. It'll prove me difficult even get pass the employment examination. but if i just go with computer related, nada, nothing, non."
1,Low Confidence,"Drop the course while you still can, before your confidence and ego is damaged"
2,Low Confidence,Not that confident
2,Low Confidence,Not confident 
2,Low Confidence,Not confident
2,Low Confidence,I struggled with understanding the logic of codes
2,Low Confidence,"Since my knowledge is limited, my opportunities will be limited too. "
2,High Confidence,Learn from open sources and practice coding
3,High Confidence,I feel comfortable using this program and am willing to learn more about it and other systems.
3,High Confidence,I am aware that I know the fundamentals of Java and am eager to learn more about this application.
3,High Confidence,"Although I am keen to learn more, I am confident that I can apply my foundational understanding of C programming."
3,High Confidence,"To improve your skills, you must have confidence and put in more work to make it happen"
3,High Confidence,"To improve your skills, you must have confidence and put in more work to make it happen"
3,High Confidence,"Nowadays, anyone can learn any programming language through a variety of platforms and build confidence by working harder to master it."
4,High Confidence,Good
4,High Confidence,Good
4,High Confidence,Good
4,Low Confidence,None
4,High Confidence,In terms of work mastery
4,High Confidence,More practice
5,Low Confidence,not really confident because python is a bit difficult
5,Low Confidence,For me java programming is difficult for me because it requires a lot of code
5,Low Confidence,"This is also one of the hardest for me because it's close to the hardware, so you have to understand how memory works"
5,Low Confidence,Spending hours stuck on a bug without understanding the problem can make you doubt your skills
5,High Confidence,Better Communication Skills
5,High Confidence,Stay Curious and Explore
6,Low Confidence,im not confident but i know how basic algorithm in python
6,Low Confidence,kind of confident compare to python
6,Low Confidence,completely dont have an idea about its syntax
6,Low Confidence,the lact of interest
6,Low Confidence,it will be hard for me to find job
6,High Confidence,be consistent in learning 
7,Low Confidence,Not much
7,Low Confidence,not good
7,Low Confidence,not good also
7,Low Confidence,Resources and lack of guide
7,High Confidence,Might well get a job in the future
7,High Confidence,Practice coding and designing
8,High Confidence,I'm good at it
8,Low Confidence,Well I don't know
8,High Confidence,Goods 
8,Low Confidence,Scheduling  I guess
8,High Confidence,"well, it will help us to our work "
8,High Confidence,Relax 
9,Low Confidence,middle 
9,Low Confidence,middle
9,Low Confidence,low
9,Low Confidence,The teacher is busy
9,High Confidence,Being confident in multiple languages opens doors to international roles or companies and you can easy land a job
9,High Confidence,more on selfstudy
10,Low Confidence,7 over 10
10,Low Confidence,7 over 10
10,Low Confidence,7 over 10
10,Low Confidence,The teaching is not that best
10,High Confidence,Maybe a wide range for jobs
10,Low Confidence,More laboratory time
11,Low Confidence,im not sure
11,High Confidence,very confident
11,Low Confidence,not confident
11,Low Confidence,teaching
11,High Confidence,big impact
11,High Confidence,improve your self confidence 
12,Low Confidence,Not super confident. Still figuring how to use python.
12,Low Confidence,Not super confident. Still figuring how to use Java.
12,Low Confidence,Zero knowledge.
12,Low Confidence,Lack of gadget especially laptop.
12,Low Confidence,I don’t know. I’m not that good in programming.
12,Low Confidence,People who can help me use those languages.
13,Low Confidence,I'm not confident in my skill actually
13,Low Confidence,I'm not confident enough in my skill in Java
13,Low Confidence,Not confident enough
13,Low Confidence,"Java especially can feel bloated with all its class structures, type declarations, and boilerplate compared to more concise languages like Python"
13,High Confidence,"Python and Java are in high demand. Confidence in them opens doors to roles in backend development, data science, Android apps, automation, and more."
13,High Confidence,"Practice Regularly even 30 minutes a day can work wonders. Use platforms like LeetCode, HackerRank, or Codewars to sharpen your skills in bite-sized challenges."
14,Low Confidence,Slight
14,Low Confidence,Slight
14,Low Confidence,Slight
14,Low Confidence,I dont have a device and i am so lazy to study programming languages
14,Low Confidence,Idk
14,High Confidence,Study hard and listen to your prof
15,Low Confidence,"As of now a little, because im in 2nd ye and we don't have a subject that the language is python so they still nothing to teach us that language but by watching in youtubes i still know a little in python"
